node1,node2,type_car,type_bike,speed,lanes
A1,B1,secondary,None,50,2
B1,G1,secondary,None,50,2
E1,G1,secondary,None,50,2
E1,K1,tertiary,bike_lane,30,2
K1,G1,secondary,bike_lane,50,2
G1,H1,seconday,None,50,2
H1,C1,secondary,None,50,2
C1,D1,secondary,None,50,2
H1,I1,secondary,None,50,2
I1,F1,tertiary,bike_lane,30,2
M1,H1,tertiary,None,30,2
M1,O1,tertiary,None,30,2
I1,O1,primary,None,80,4
O1,P1,secondary,None,50,2
O1,T1,primary,None,80,4
T1,S1,primary,None,80,4
K1,S1,secondary,bike_lane,50,2
K1,L1,tertiary,bike_lane,30,2
S1,Y1,secondary,bike_path,50,2
T1,V1,primary,None,80,4
V1,U1,secondary,None,50,2
U1,W1,tertiary,None,30,2
U1,Q1,secondary,None,50,2
Q1,J1,secondary,None,50,2
Q1,C3,secondary,None,50,2
C3,R1,secondary,None,50,2
R1,N1,secondary,bike_path,50,2
R1,A2,secondary,bike_path,50,2
A2,Z1,tertiary,bike_lane,30,2
Z1,X1,tertiary,bike_lane,30,2
Z1,E2,tertiary,bike_lane,30,2
A2,F2,secondary,bike_path,50,2
F2,E2,secondary,None,50,2
E2,D2,secondary,None,50,2
D2,J2,tertiary,None,30,2
J2,I2,tertiary,None,30,2
J2,N2,tertiary,None,30,2
N2,U2,tertiary,None,30,2
N2,O2,tertiary,None,30,2
O2,F2,secondary,bike_lane,50,2
O2,P2,secondary,None,50,2
P2,W2,secondary,None,50,2
W2,V2,secondary,None,50,2
V2,A3,secondary,None,50,2
A3,Z2,secondary,None,50,2
Z2,B3,tertiary,None,30,2
Z2,U2,tertiary,bike_path,30,2
U2,T2,tertiary,bike_path,30,2
T2,Y2,secondary,bike_lane,50,2
T2,M2,tertiary,None,30,2
M2,C2,secondary,bike_lane,50,2
Y2,S2,secondary,None,50,2
S2,L2,secondary,None,50,2
L2,M2,secondary,bike_lane,50,2
M2,L2,secondary,bike_lane,50,2
L2,H2,secondary,None,50,2
H2,T1,primary,None,80,4
H2,R2,primary,bike_lane,80,4
R2,X2,secondary,None,50,2
R2,Q2,primary,None,80,4
R2,G2,tertiary,None,30,2
G2,K2,tertiary,bike_lane,30,2
G2,B2,tertiary,bike_path,30,2
