node1,node2,type_car,type_bike,speed,lanes
A1,D1,primary,None,80,4
D1,C1,secondary,None,50,2
D1,I1,primary,None,80,4
I1,P1,primary,bike_path,80,4
I1,J1,tertiary,None,30,2
I1,H1,tertiary,None,30,2
J1,K1,tertiary,None,30,2
J1,P1,tertiary,None,30,2
H1,N1,tertiary,None,30,2
N1,O1,tertiary,bike_lane,30,2
Q1,P1,secondary,bike_lane,50,2
O1,P1,tertiary,None,30,2
K1,Q1,secondary,bike_lane,50,2
K1,E1,secondary,bike_lane,50,2
E1,B1,secondary,bike_lane,50,2
B1,F1,secondary,None,50,2
F1,R1,secondary,None,50,2
R1,Q1,secondary,None,50,2
R1,Y1,secondary,bike_lane,50,2
Y1,X1,tertiary,None,30,2
X1,Q1,secondary,bike_lane,50,2
X1,W1,secondary,None,50,2
W1,P1,primary,bike_path,80,4
W1,V1,primary,bike_path,80,4
V1,O1,tertiary,None,30,2
V1,U1,primary,bike_path,80,4
U1,N1,tertiary,None,30,2
U1,T1,primary,bike_path,80,4
T1,M1,tertiary,None,30,2
M1,N1,tertiary,bike_lane,30,2
M1,L1,tertiary,None,30,2
L1,G1,secondary,None,50,2
L1,S1,secondary,None,50,2
S1,T1,primary,bike_lane,80,4
S1,A2,primary,bike_lane,80,4
Y1,Z1,tertiary,None,30,2
A2,B2,secondary,None,50,2
B2,C2,secondary,None,50,2
C2,T1,tertiary,None,30,2
D2,U1,tertiary,None,30,2
C2,D2,secondary,None,50,2
D2,E2,secondary,None,50,2
E2,V1,tertiary,None,30,2
E2,F2,secondary,None,50,2
F2,W1,primary,None,80,4
F2,G2,secondary,bike_lane,50,2
G2,X1,secondary,None,50,2
G2,H2,secondary,bike_lane,50,2
H2,Y1,secondary,bike_lane,50,2
Z1,I2,tertiary,None,30,2
H2,I2,secondary,bike_lane,50,2
B2,J2,tertiary,None,30,2
J2,K2,tertiary,None,30,2
K2,C2,secondary,None,50,2
K2,L2,tertiary,bike_lane,30,2
L2,D2,tertiary,None,30,2
L2,M2,tertiary,bike_lane,30,2
M2,F2,primary,None,80,4
M2,N2,tertiary,bike_lane,30,2
N2,G2,secondary,None,50,2
N2,O2,tertiary,bike_lane,30,2
O2,H2,secondary,bike_lane,50,2
O2,P2,tertiary,None,30,2
P2,I2,tertiary,None,30,2
Q2,K2,secondary,None,50,2
R2,M2,primary,None,80,4
