node1,node2,type_car,type_bike,speed,lanes
11,41,primary,None,80,4
41,31,secondary,None,50,2
41,91,primary,None,80,4
91,161,primary,bike_path,80,4
91,101,tertiary,None,30,2
91,81,tertiary,None,30,2
101,111,tertiary,None,30,2
101,161,tertiary,None,30,2
81,141,tertiary,None,30,2
141,151,tertiary,bike_lane,30,2
171,161,secondary,bike_lane,50,2
151,161,tertiary,None,30,2
111,171,secondary,bike_lane,50,2
111,51,secondary,bike_lane,50,2
51,21,secondary,bike_lane,50,2
21,61,secondary,None,50,2
61,181,secondary,None,50,2
181,171,secondary,None,50,2
181,251,secondary,bike_lane,50,2
251,241,tertiary,None,30,2
241,171,secondary,bike_lane,50,2
241,231,secondary,None,50,2
231,161,primary,bike_path,80,4
231,221,primary,bike_path,80,4
221,151,tertiary,None,30,2
221,211,primary,bike_path,80,4
211,141,tertiary,None,30,2
211,201,primary,bike_path,80,4
201,131,tertiary,None,30,2
131,141,tertiary,bike_lane,30,2
131,121,tertiary,None,30,2
121,71,secondary,None,50,2
121,191,secondary,None,50,2
191,201,primary,bike_lane,80,4
191,12,primary,bike_lane,80,4
251,261,tertiary,None,30,2
12,22,secondary,None,50,2
22,32,secondary,None,50,2
32,201,tertiary,None,30,2
42,211,tertiary,None,30,2
32,42,secondary,None,50,2
42,52,secondary,None,50,2
52,221,tertiary,None,30,2
52,62,secondary,None,50,2
62,231,primary,None,80,4
62,72,secondary,bike_lane,50,2
72,241,secondary,None,50,2
72,82,secondary,bike_lane,50,2
82,251,secondary,bike_lane,50,2
261,92,tertiary,None,30,2
82,92,secondary,bike_lane,50,2
22,102,tertiary,None,30,2
102,112,tertiary,None,30,2
112,32,secondary,None,50,2
112,122,tertiary,bike_lane,30,2
122,42,tertiary,None,30,2
122,132,tertiary,bike_lane,30,2
132,62,primary,None,80,4
132,142,tertiary,bike_lane,30,2
142,72,secondary,None,50,2
142,152,tertiary,bike_lane,30,2
152,82,secondary,bike_lane,50,2
152,162,tertiary,None,30,2
162,92,tertiary,None,30,2
172,112,secondary,None,50,2
182,132,primary,None,80,4
