a_node,b_node,type_car,type_bike,speed,lanes,length
1,2,primary,None,80,2,1000
2,1,primary,None,80,2,1000
2,3,primary,None,80,2,1000
3,2,primary,None,80,2,1000
3,4,primary,None,80,2,1000
4,3,primary,None,80,2,1000
1,5,primary,None,80,2,1000
5,1,primary,None,80,2,1000
2,6,secondary,None,50,1,1000
6,2,secondary,None,50,1,1000
3,7,tertiary,bike_lane,30,1,1000
7,3,tertiary,bike_lane,30,1,1000
4,8,primary,None,80,2,1000
8,4,primary,None,80,2,1000
5,6,secondary,bike_path,50,1,1000
6,5,secondary,bike_path,50,1,1000
6,7,secondary,bike_path,50,1,1000
7,6,secondary,bike_path,50,1,1000
7,8,secondary,bike_path,50,1,1000
8,7,secondary,bike_path,50,1,1000
5,9,primary,None,80,2,1000
9,5,primary,None,80,2,1000
6,10,secondary,bike_path,50,1,1000
10,6,secondary,bike_path,50,1,1000
7,11,tertiary,bike_lane,30,1,1000
11,7,tertiary,bike_lane,30,1,1000
8,12,primary,None,80,2,1000
12,8,primary,None,80,2,1000
9,10,secondary,bike_lane,50,1,1000
10,9,secondary,bike_lane,50,1,1000
10,11,secondary,bike_lane,50,1,1000
11,10,secondary,bike_lane,50,1,1000
11,12,secondary,bike_lane,50,1,1000
12,11,secondary,bike_lane,50,1,1000
12,16,primary,None,80,2,1000
16,12,primary,None,80,2,1000
9,13,primary,None,80,2,1000
13,9,primary,None,80,2,1000
10,14,secondary,bike_path,50,1,1000
14,10,secondary,bike_path,50,1,1000
11,15,tertiary,bike_lane,30,1,1000
15,11,tertiary,bike_lane,30,1,1000
13,14,primary,None,80,2,1000
14,13,primary,None,80,2,1000
14,15,primary,None,80,2,1000
15,14,primary,None,80,2,1000
15,16,primary,None,80,2,1000
16,15,primary,None,80,2,1000
